Name,Description,What It Measures,Optimal Ranges,High Levels Mean,Low Levels Mean,Health Implications,How to Improve,References
"Apolipoprotein A1 (ApoA1)","ApoA1 is a protein carrier for HDL-C. It is the most abundant protein associated with HDL-C and serves as a cardiovascular disease risk indicator. Both HDL cholesterol and ApoA1 are anti-atherogenic — the higher the values, the lower the cardiovascular risk.","Protein carrier for HDL cholesterol; most informative biomarker for 'good' cholesterol and cardiovascular disease risk.","Males: Normal 110–180 mg/dL; Optimal ≥115 mg/dL; At Risk <115 mg/dL. Females: Normal 110–205 mg/dL; Optimal ≥125 mg/dL; At Risk <125 mg/dL.","May be caused by genetic disorders, certain medications, or recent weight loss.","May indicate diabetes, coronary artery disease, Tangier disease (levels <25 mg/dL), liver disorders, smoking, and poor lifestyle choices.","ApoA1 works to prevent plaque buildup in arteries through anti-atherogenic effects. Higher values correlate with lower cardiovascular risk.","Limit added sugar and sugar-sweetened beverages. Consume fermented dairy products. Avoid smoking. Increase physical activity. Achieve healthy weight.","University of Rochester Medical Center; PubMed — Apolipoprotein A-I and cholesterol efflux; Quest Diagnostics"
"Apolipoprotein B (ApoB)","An atherogenic particle that transports 'bad' cholesterol. Each particle of VLDL, IDL, LDL, or Lp(a) contains a single molecule of ApoB. Because there is only one ApoB per LDL particle, this measurement gives the most accurate estimate of the quantity of non-HDL cholesterol.","Measures additional types of 'bad cholesterol' beyond LDL-C alone. Better predictor of cardiovascular events than LDL-C in both men and women.","General: Low <50 mg/dL; Optimal 50–65 mg/dL; Normal 65–100 mg/dL; High 100–120 mg/dL; High risk >120 mg/dL. SiPhox: Optimal ≤70; Good 70.1–89.9; Fair 90–104.9; Pay Attention 105–129.9; Alert ≥130 mg/dL.","May indicate pregnancy, high cholesterol, or kidney issues. Strongly associated with increased cardiovascular events and shortened lifespan.","May indicate sepsis, liver disease, malabsorption, or high estrogen levels.","Superior predictor of cardiovascular risk compared to LDL-C alone. Elevated levels strongly associated with increased cardiovascular events.","Exercise ≥30 min daily. Maintain healthy weight. Avoid tobacco. Limit saturated/trans fats. Increase fruits, vegetables, omega-3 foods. Follow Mediterranean diet. Consult physician re: cholesterol-lowering drugs.","Cleveland Clinic; NIH/PubMed; MedlinePlus; The Lancet; Mayo Clinic Labs; AHA; Peter Attia MD"
"Cortisol","A hormone synthesized and secreted by the adrenal glands that plays a major role in regulating stress, metabolism, and immunity. Regulates how the body uses carbohydrates, fats, and proteins. Follows a diurnal rhythm affected by sleep patterns.","Cortisol levels in blood serum or saliva. A 3-point saliva test collects samples at morning, afternoon, and night to detect abnormalities in cortisol rhythm.","Blood Serum — Morning (6–8 AM): 10–15 ug/dL; Evening (~4 PM): 4–10 ug/dL. Below 3 ug/dL may indicate adrenal insufficiency. Consistently above normal may indicate Cushing's disease.","Indicator of acute, chronic, or traumatic stress. Prolonged high levels (Cushing's disease) can lead to weight gain, fat redistribution, poor sleep, lowered immune system, and increased inflammation.","May indicate poor adrenal function or Addison's disease.","Regulates carbohydrate, fat, and protein usage. Chronic elevation keeps blood sugar elevated and causes fat storage. Extended elevation leads to weight gain, poor sleep, lowered immunity, increased inflammation.","High: Ashwagandha, rhodiola, lemon balm, chamomile; dark chocolate, garlic, fermented foods, vitamin C; 8 hrs sleep; yoga, tai chi, meditation, time in nature. Low: High-intensity exercise, caffeine.","Cleveland Clinic; Huberman Lab; Multiple PubMed/NIH studies"
"Estradiol (E2)","A type of estrogen hormone naturally produced by both males and females. In females, regulates the menstrual cycle, plays a role in fertility and ovulation. In males, important for modulating libido, erectile function, and sperm synthesis. Also affects bone health and brain function.","Reproductive health status and overall hormonal balance.","Out of range (low): <10 pg/mL; In range: 10–47 pg/mL; Out of range (high): >47 pg/mL. Ranges vary by personal context. Menstruating females: test on day 3 of cycle.","Females: pregnancy, ovulation, PCOS, ovarian tumors, liver disease. Males: erectile dysfunction, muscle loss, fatigue, mood changes, abdominal obesity, gynecomastia, cardiovascular disease, insulin resistance.","Females: menopause, premature ovarian failure, pituitary/adrenal dysfunction; strongly linked to osteoporosis. Males: decreased libido and reduced sexual activity.","Operates beyond reproductive system including bone health and brain function. Deficiency in females strongly linked to osteoporosis. In males, high levels associated with cardiovascular disease and insulin resistance.","Increase: phytoestrogen-rich foods, boron, B vitamins, vitamin D, E, black cohosh, DHEA, red clover. Decrease: reduce body fat, stress management, limit alcohol, exercise, cruciferous vegetables.","Mount Sinai; NIH; Straight Healthcare"
"Fasting Insulin","Insulin is a hormone secreted primarily by the pancreas responsible for regulating blood glucose levels. Fasting insulin levels indicate how much insulin the body produces while fasted (no food/beverages besides water for 8 hours). Follows a natural circadian rhythm.","The amount of insulin the body produces while fasted; indicator of the body's reaction to diet and lifestyle.","Low: <1.9 uIU/mL; Optimal: 1.9–8 uIU/mL; High: 8–23 uIU/mL; Very High: >23 uIU/mL. Requires 8-hour fast.","Signals insulin resistance — body fails to respond to insulin by taking up glucose. Leading indicator of pre-diabetes and metabolic syndrome. Symptoms: increased thirst, frequent urination, blurred vision, slow-healing wounds.","Not specifically addressed beyond classification as 'Low' (<1.9 uIU/mL).","High insulin may precede type 2 diabetes. ~1 in 10 Americans have diabetes, many undiagnosed. Hormonal disorders and certain medications can also cause insulin resistance.","Avoid processed high-carb foods and saturated fats. Choose low glycemic index foods (beans, legumes, non-starchy veggies, berries). Exercise and lose weight. Stick to consistent eating schedules.","Cleveland Clinic; CDC; UVA Health; NCBI/PMC; Health Matters; NIDDK; ADA"
"Ferritin","The soluble, storage form of iron that provides an indirect measurement of the body's iron stores. An indirect indicator of physiological health related to energy production and oxygen transport.","Iron storage levels in the body.","SiPhox optimal: 50–150 ng/mL (both sexes). Iron deficiency: <30 ng/mL. Iron deficiency anemia: <10 ng/mL. Iron overload: >150 ng/mL. Abnormal: >200 ng/mL females, >300 ng/mL males.","Iron overload. Can be elevated due to obesity and fatty liver. Associated conditions: inflammation, tissue destruction, liver disease, malignancies, hyperthyroidism, hemochromatosis, infection, cancer.","Depletion of iron stores, iron-deficiency erythropoiesis, or iron deficiency anemia. Complications: fatigue, headaches, restless legs, heart problems, pregnancy complications, weakened immunity.","Essential for energy production and oxygen transport. Low ferritin associated with fatigue (especially <50 ng/mL), weakened immunity, cardiovascular complications. High ferritin can signal liver disease, cancer, hemochromatosis.","Low: iron-rich foods (cereals, oysters, lentils), pair with vitamin C, cook with cast iron, avoid phytates/polyphenols/calcium with meals. High: decrease iron-rich foods, limit alcohol, donate blood.","NIH; NHLBI; ASH Publications; Cleveland Clinic; Multiple NCBI/PMC studies"
"Follicle-Stimulating Hormone (FSH)","A hormone synthesized mostly by the pituitary gland involved in sexual development and reproduction. In females, stimulates estradiol production and regulates the menstrual cycle. In males, works with testosterone to maintain normal sperm count and function.","FSH levels indicating reproductive and sexual development status.","Menstruating Females — Follicular: 2–9 mIU/mL; Mid-cycle peak: 4–22 mIU/mL; Luteal: 2–9 mIU/mL. Postmenopausal: >30 mIU/mL. Males: 1–7 mIU/mL. Test on day 3 of menstrual cycle.","Females: primary ovarian insufficiency, PCOS, perimenopause, ovarian tumor, Turner syndrome. Males: testicular damage, Klinefelter syndrome.","Females: pituitary/hypothalamus disorder, insufficient egg production, being severely underweight. Males: pituitary/hypothalamus disorders.","Critical for reproductive function in both sexes. Abnormal levels can indicate ovarian/testicular failure to pituitary/hypothalamic disorders. Key marker for menopause and fertility assessment.","Increase: exercise (HIIT), oyster polypeptides, melatonin. Decrease: weight loss, probiotics, royal jelly, omega-3, vitamin D, zinc.","MedlinePlus; Straight Healthcare; ABIM; Multiple PubMed studies"
"HDL-C","Often referred to as 'good' cholesterol because it helps remove other forms of cholesterol from the bloodstream. HDL-C carries cholesterol away from arteries back to the liver for processing and removal.","Cardiovascular health risk and cholesterol metabolism. The triglyceride-to-HDL-C ratio is one particularly valuable marker for metabolic syndrome risk.","General: Abnormally low <23 mg/dL; Worrisome 23–60; Excellent 60–92; Elevated 92–100; Abnormally high >100 mg/dL. SiPhox: Optimal ≥80; Good 60–79.99; Fair 40–59.9; Pay Attention <40 mg/dL.","Abnormally high HDL-C (>100 mg/dL) may paradoxically increase heart disease risk despite historical assumptions of universal protection.","Abnormally low (<23 mg/dL): may indicate severe hypertriglyceridemia. Worrisome (23–60): may indicate diabetes or coronary heart disease.","High levels associated with lower cardiovascular disease risk; low levels with increased risk. Not as strong an indicator as ApoB or LDL-C.","Eat fruits, vegetables, omega-3 foods, soluble fiber. Follow Mediterranean or DASH diet. Avoid animal fats, saturated fats, salt. 150 min moderate or 75 min high-intensity exercise/week. Avoid smoking. Wine in moderation.","CDC/NCHS; NCBI/NIH; Harvard Health; Cleveland Clinic; Mayo Clinic; UMass Chan"
"High-Sensitivity C-Reactive Protein (hs-CRP)","An acute inflammatory protein produced by the liver in response to infection or inflammation. Quantifies CRP at extremely small concentrations to identify low but persistent inflammation.","General inflammation levels; marker for heart disease and stroke risk. Lower values indicate better health status.","AHA: Healthy <1.0 mg/L; Slightly High 1.0–1.5; Moderate Risk 1.0–10; High Risk >10; Critical >50 mg/L. SiPhox: Optimal ≤0.75; Good 0.76–1.4; Fair 1.5–1.99; Pay Attention ≥2.0 mg/L.","Minor elevation (up to 1.0): obesity, pregnancy, depression, sedentary lifestyle. Moderate (1.0–10): autoimmune disease, cardiovascular events. High risk (>10): infection or trauma.","Lower levels indicate better cardiovascular health and lower inflammation status. Optimal levels associated with reduced cardiovascular disease risk.","Risk factors: male sex, older age, obesity, pregnancy, depression, sedentary lifestyle, smoking, genetics. Elevated levels correlate with increased cardiovascular disease and stroke risk.","Anti-inflammatory foods (tart cherry juice), Mediterranean/DASH diet. Exercise, quit smoking, oral hygiene, sauna 2–3x/week. Supplements: curcumin, magnesium, omega-3, vitamin D, zinc+vitamin A+magnesium.","NCBI; Kaiser Permanente; AHA; Cleveland Heart Lab; Mayo Clinic Labs; Multiple PubMed studies"
"Homocysteine","A naturally produced, sulfur-containing amino acid metabolized to create essential compounds such as methionine and cysteine.","Homocysteine levels in blood plasma during fasting state.","AHA: Low <5 umol/L; Optimal 5–9; Normal 5–15; Moderate hyperhomocysteinemia 16–30; Intermediate 31–100; Severe >100 umol/L. SiPhox: Optimal <4; Good 4–5.9; Fair 6–9.9; Pay Attention 10–14.9; Alert >15 umol/L.","Increases cardiovascular risk via monocyte activation promoting inflammatory response. Associated with coronary artery disease, heart attacks, blood clots, strokes, neurological disorders, dementia.","Not specifically addressed beyond classification as low (<5 umol/L).","Elevated levels increase cardiovascular risk by activating monocytes and triggering inflammatory responses. Causes: low B vitamins (B6, B12), low folate, aging, alcohol, smoking, thyroid/kidney disease, genetics.","Reduce stress, cut back on coffee, limit alcohol, quit smoking, resistance training. Supplement with B vitamins (B6, B12, folic acid).","Cleveland Clinic; AHA; University of Rochester; Michael Lustgarten PhD; JAMA Neurology; Multiple PubMed studies"
